id,english,telugu
1535,I was ushered to my seat.,నా సీటుకు నన్ను ప్రవేశపెట్టారు.
1536,I don't like windy days.,గాలులతో కూడిన రోజులు నాకు నచ్చవు.
1537,It's nothing to be sorry about.,దీని గురించి క్షమించాల్సిన పనిలేదు.
1538,I'll be ready when you need me.,మీకు నాకు అవసరమైనప్పుడు నేను సిద్ధంగా ఉంటాను.
1539,I hope they have a good time.,వారికి మంచి సమయం ఉంటుందని నేను ఆశిస్తున్నాను.
1540,What are you so afraid of telling me?,నాకు చెప్పడానికి మీరు ఇంత భయపడుతున్నారా?
1541,I think we forgot someone.,మనం ఒకరిని మరచిపోయామని అనుకుంటున్నాను.
1542,I'm always happy when I get email from you.,మీ నుండి నాకు ఇమెయిల్ వచ్చినప్పుడు నేను ఎల్లప్పుడూ సంతోషంగా ఉన్నాను.
1543,Please tell us about your trip.,దయచేసి మీ ట్రిప్ గురించి మాకు చెప్పండి.
1544,I was here about a year ago.,నేను ఒక సంవత్సరం క్రితం ఇక్కడ ఉన్నాను.
1545,I think you'll like this book.,మీకు ఈ పుస్తకం నచ్చుతుందని అనుకుంటున్నాను.
1546,Please go on.,దయచేసి కొనసాగండి.
1547,I need to take your temperature again.,నేను మీ ఉష్ణోగ్రతని మళ్ళీ తీసుకోవాలి.
1548,How long does it take to go from here to the Hilton Hotel?,ఇక్కడి నుండి హిల్టన్ హోటల్‌కు వెళ్లడానికి ఎంత సమయం పడుతుంది?
1549,It's not my car.,ఇది నా కారు కాదు.
1550,I don't want anyone to know about this.,దీని గురించి ఎవరైనా తెలుసుకోవాలనుకోవడం లేదు.
1551,I've been waiting for an hour and a half.,నేను గంటన్నర పాటు వేచి ఉన్నాను.
1552,I can't help crying.,నేను ఏడుపు సహాయం చేయలేను.
1553,I won't be able to pay for it.,నేను దాని కోసం చెల్లించలేను.
1554,I'm going to watch football.,నేను ఫుట్‌బాల్ చూడబోతున్నాను.
1555,It is doubtful whether this method will work.,ఈ పద్ధతి పనిచేస్తుందా అనేది సందేహమే.
1556,I don't like loose ends.,నాకు వదులుగా చివరలు నచ్చవు.
1557,There is a bookstore across from my house.,నా ఇంటి నుండి ఒక పుస్తక దుకాణం ఉంది.
1558,Please take more care in the future.,దయచేసి భవిష్యత్తులో మరింత శ్రద్ధ వహించండి.
1559,I've got to go to Boston.,నేను బోస్టన్‌కు వెళ్ళవలసి వచ్చింది.
1560,I can't remember the last time I saw you so happy.,నిన్ను ఇంత సంతోషంగా చూసిన చివరిసారి నాకు గుర్తులేదు.
1561,Could you show me the way to the bus stop?,బస్ స్టాప్ వెళ్ళే మార్గం నాకు చూపించగలరా?
1562,I've already paid.,నేను ఇప్పటికే చెల్లించాను.
1563,Tell me what you mean.,మీ ఉద్దేశ్యం చెప్పండి.
1564,I need a friend.,నాకు ఒక స్నేహితుడు కావాలి.
1565,There are no restrooms in this building.,ఈ భవనంలో విశ్రాంతి గదులు లేవు.
1566,Please listen carefully.,దయచేసి జాగ్రత్తగా వినండి.
1567,We have to tell everybody what happened.,ఏమి జరిగిందో అందరికీ చెప్పాలి.
1568,I've got to tell you something.,నేను మీకు ఒక విషయం చెప్పాలి.
1569,I didn't want to look foolish.,నేను మూర్ఖంగా కనిపించడం ఇష్టంలేదు.
1570,Tell me why I can't go.,నేను ఎందుకు వెళ్ళలేదో చెప్పు.
1571,I don't want to play checkers.,నేను చెక్కర్స్ ఆడటానికి ఇష్టపడను.
1572,I'm starting to feel better already.,నేను ఇప్పటికే మంచి అనుభూతి చెందుతున్నాను.
